action step b bid tb Bcon Bstop Bswitch Bagreed s cbid ts Scon Sstop Sswitch
- 0 0 1 0 false false false false 0 1000 0 true false false
Buyer 1 1 1 0 false false false false 0 1000 0 true false false
[BID] 2 6 1 1 false false false false 1 1000 0 true false false
Buyer 3 2 1 1 false false false false 1 1000 0 true false false
Seller 4 2 1 1 false false false false 6 1000 0 true false false
Seller 5 2 1 1 false false false false 3 1000 0 true false false
[CBID] 6 4 1 1 false false false false 7 1000 1 true false false
Buyer 7 0 1 1 false false false false 7 1000 1 true false false
Seller 8 0 1 1 false false false false 4 1000 1 true false false
Buyer 9 1 1 1 false false false false 4 1000 1 true false false
Seller 10 1 1 1 false false false false 0 1000 1 true false false
[BID] 11 6 2 2 false false false false 1 1000 1 true false false
Seller 12 6 2 2 false false false false 6 1000 1 true false false
Seller 13 6 2 2 false false false false 3 1000 1 true false false
Buyer 14 2 2 2 false false false false 3 1000 1 true false false
[CBID] 15 4 2 2 false false false false 7 900 2 true false false
Buyer 16 0 2 2 false false false false 7 900 2 true false false
Buyer 17 1 2 2 false false false false 7 900 2 true false false
Seller 18 1 2 2 false false false false 4 900 2 true false false
Seller 19 1 2 2 false false false false 0 900 2 true false false
[BID] 20 6 3 3 false false false false 1 900 2 true false false
Buyer 21 2 3 3 false false false false 1 900 2 true false false
Seller 22 2 3 3 false false false false 6 900 2 true false false
Seller 23 2 3 3 false false false false 3 900 2 true false false
[CBID] 24 4 3 3 false false false false 7 800 3 true false false
Buyer 25 0 3 3 false false false false 7 800 3 true false false
Buyer 26 1 3 3 false false false false 7 800 3 true false false
Seller 27 1 3 3 false false false false 4 800 3 false false true
Seller 28 1 3 3 false false false false 0 800 3 false false true
[BID] 29 6 4 4 false false false false 1 800 3 false false true
Buyer 30 2 4 4 false false false false 1 800 3 false false true
Seller 31 2 4 4 false false false false 6 800 3 false false true
Seller 32 2 4 4 false false false false 3 800 3 false false true
[CBID] 33 4 4 4 false false false false 7 799 4 false false true
Seller 34 4 4 4 false false false false 4 799 4 false false true
Buyer 35 0 4 4 false false false false 4 799 4 false false true
Buyer 36 1 4 4 false false false false 4 799 4 false false true
Seller 37 1 4 4 false false false false 0 799 4 false false true
[BID] 38 6 5 5 false false false false 1 799 4 false false true
Buyer 39 2 5 5 false false false false 1 799 4 false false true
Seller 40 2 5 5 false false false false 6 799 4 false false true
Seller 41 2 5 5 false false false false 3 799 4 false false true
[CBID] 42 4 5 5 false false false false 7 798 5 false false true
Buyer 43 0 5 5 false false false false 7 798 5 false false true
Seller 44 0 5 5 false false false false 4 798 5 false false true
Buyer 45 1 5 5 false false false false 4 798 5 false false true
Seller 46 1 5 5 false false false false 0 798 5 false false true
[BID] 47 6 6 6 false false false false 1 798 5 false false true
Seller 48 6 6 6 false false false false 6 798 5 false false true
Seller 49 6 6 6 false false false false 3 798 5 false false true
Buyer 50 2 6 6 false false false false 3 798 5 false false true
[CBID] 51 4 6 6 false false false false 7 797 6 false false true
Seller 52 4 6 6 false false false false 4 797 6 false false true
Buyer 53 0 6 6 false false false false 4 797 6 false false true
Buyer 54 1 6 6 false false false false 4 797 6 false false true
Seller 55 1 6 6 false false false false 0 797 6 false false true
[BID] 56 6 7 7 false false false false 1 797 6 false false true
Buyer 57 2 7 7 false false false false 1 797 6 false false true
Seller 58 2 7 7 false false false false 6 797 6 false false true
Seller 59 2 7 7 false false false false 3 797 6 false false true
[CBID] 60 4 7 7 false false false false 7 796 7 false false true
Buyer 61 0 7 7 false false false false 7 796 7 false false true
Seller 62 0 7 7 false false false false 4 796 7 false false true
Buyer 63 1 7 7 false false false false 4 796 7 false false true
Seller 64 1 7 7 false false false false 0 796 7 false false true
[BID] 65 6 8 8 false false false false 1 796 7 false false true
Seller 66 6 8 8 false false false false 6 796 7 false false true
Buyer 67 2 8 8 false false false false 6 796 7 false false true
Seller 68 2 8 8 false false false false 3 796 7 false false true
[CBID] 69 4 8 8 false false false false 7 795 8 false false true
Seller 70 4 8 8 false false false false 4 795 8 false false true
Buyer 71 0 8 8 false false false false 4 795 8 false false true
Buyer 72 1 8 8 false false false false 4 795 8 false false true
Seller 73 1 8 8 false false false false 0 795 8 false false true
[BID] 74 6 9 9 false false false false 1 795 8 false false true
Seller 75 6 9 9 false false false false 6 795 8 false false true
Buyer 76 2 9 9 false false false false 6 795 8 false false true
Seller 77 2 9 9 false false false false 3 795 8 false false true
[CBID] 78 4 9 9 false false false false 7 794 9 false false true
Seller 79 4 9 9 false false false false 4 794 9 false false true
Buyer 80 0 9 9 false false false false 4 794 9 false false true
Buyer 81 1 9 9 false false false false 4 794 9 false false true
Seller 82 1 9 9 false false false false 0 794 9 false false true
[BID] 83 6 10 10 false false false false 1 794 9 false false true
Buyer 84 2 10 10 false false false false 1 794 9 false false true
Seller 85 2 10 10 false false false false 6 794 9 false false true
Seller 86 2 10 10 false false false false 3 794 9 false false true
[CBID] 87 4 10 10 false false false false 7 793 10 false false true
Buyer 88 0 10 10 false false false false 7 793 10 false false true
Seller 89 0 10 10 false false false false 4 793 10 false false true
Buyer 90 1 10 10 false false false false 4 793 10 false false true
Seller 91 1 10 10 false false false false 0 793 10 false false true
[BID] 92 6 11 11 false false false false 1 793 10 false false true
Buyer 93 2 11 11 false false false false 1 793 10 false false true
Seller 94 2 11 11 false false false false 6 793 10 false false true
Seller 95 2 11 11 false false false false 3 793 10 false false true
[CBID] 96 4 11 11 false false false false 7 792 11 false false true
Buyer 97 0 11 11 false false false false 7 792 11 false false true
Seller 98 0 11 11 false false false false 4 792 11 false false true
Buyer 99 1 11 11 false false false false 4 792 11 false false true
Seller 100 1 11 11 false false false false 0 792 11 false false true
[BID] 101 6 12 12 false false false false 1 792 11 false false true
Seller 102 6 12 12 false false false false 6 792 11 false false true
Buyer 103 2 12 12 false false false false 6 792 11 false false true
Seller 104 2 12 12 false false false false 3 792 11 false false true
[CBID] 105 4 12 12 false false false false 7 791 12 false false true
Buyer 106 0 12 12 false false false false 7 791 12 false false true
Seller 107 0 12 12 false false false false 4 791 12 false false true
Buyer 108 1 12 12 false false false false 4 791 12 false false true
Seller 109 1 12 12 false false false false 0 791 12 false false true
[BID] 110 6 13 13 false false false false 1 791 12 false false true
Buyer 111 2 13 13 false false false false 1 791 12 false false true
Seller 112 2 13 13 false false false false 6 791 12 false false true
Seller 113 2 13 13 false false false false 3 791 12 false false true
[CBID] 114 4 13 13 false false false false 7 790 13 false false true
Buyer 115 0 13 13 false false false false 7 790 13 false false true
Seller 116 0 13 13 false false false false 4 790 13 false false true
Buyer 117 1 13 13 false false false false 4 790 13 false false true
Seller 118 1 13 13 false false false false 0 790 13 false false true
[BID] 119 6 14 14 false false false false 1 790 13 false false true
Buyer 120 2 14 14 false false false false 1 790 13 false false true
Seller 121 2 14 14 false false false false 6 790 13 false false true
Seller 122 2 14 14 false false false false 3 790 13 false false true
[CBID] 123 4 14 14 false false false false 7 789 14 false false true
Buyer 124 0 14 14 false false false false 7 789 14 false false true
Seller 125 0 14 14 false false false false 4 789 14 false false true
Buyer 126 1 14 14 false false false false 4 789 14 false false true
Seller 127 1 14 14 false false false false 0 789 14 false false true
[BID] 128 6 15 15 false false false false 1 789 14 false false true
Buyer 129 2 15 15 false false false false 1 789 14 false false true
Seller 130 2 15 15 false false false false 6 789 14 false false true
Seller 131 2 15 15 false false false false 3 789 14 false false true
[CBID] 132 4 15 15 false false false false 7 788 15 false false true
Buyer 133 0 15 15 false false false false 7 788 15 false false true
Seller 134 0 15 15 false false false false 4 788 15 false false true
Buyer 135 1 15 15 false false false false 4 788 15 false false true
Seller 136 1 15 15 false false false false 0 788 15 false false true
[BID] 137 6 16 16 false false false false 1 788 15 false false true
Buyer 138 2 16 16 false false false false 1 788 15 false false true
Seller 139 2 16 16 false false false false 6 788 15 false false true
Seller 140 2 16 16 false false false false 3 788 15 false false true
[CBID] 141 4 16 16 false false false false 7 787 16 false false true
Buyer 142 0 16 16 false false false false 7 787 16 false false true
Buyer 143 1 16 16 false false false false 7 787 16 false false true
Seller 144 1 16 16 false false false false 4 787 16 false false true
Seller 145 1 16 16 false false false false 0 787 16 false false true
[BID] 146 6 17 17 false false false false 1 787 16 false false true
Buyer 147 2 17 17 false false false false 1 787 16 false false true
Seller 148 2 17 17 false false false false 6 787 16 false false true
Seller 149 2 17 17 false false false false 3 787 16 false false true
[CBID] 150 4 17 17 false false false false 7 786 17 false false true
Buyer 151 0 17 17 false false false false 7 786 17 false false true
Seller 152 0 17 17 false false false false 4 786 17 false false true
Buyer 153 1 17 17 false false false false 4 786 17 false false true
Seller 154 1 17 17 false false false false 0 786 17 false false true
[BID] 155 6 18 18 false false false false 1 786 17 false false true
Seller 156 6 18 18 false false false false 6 786 17 false false true
Seller 157 6 18 18 false false false false 3 786 17 false false true
Buyer 158 2 18 18 false false false false 3 786 17 false false true
[CBID] 159 4 18 18 false false false false 7 785 18 false false true
Buyer 160 0 18 18 false false false false 7 785 18 false false true
Buyer 161 1 18 18 false false false false 7 785 18 false false true
Seller 162 1 18 18 false false false false 4 785 18 false false true
Seller 163 1 18 18 false false false false 0 785 18 false false true
[BID] 164 6 19 19 false false false false 1 785 18 false false true
Buyer 165 2 19 19 false false false false 1 785 18 false false true
Seller 166 2 19 19 false false false false 6 785 18 false false true
Seller 167 2 19 19 false false false false 3 785 18 false false true
[CBID] 168 4 19 19 false false false false 7 784 19 false false true
Buyer 169 0 19 19 false false false false 7 784 19 false false true
Buyer 170 1 19 19 false false false false 7 784 19 false false true
Seller 171 1 19 19 false false false false 4 784 19 false false true
Seller 172 1 19 19 false false false false 0 784 19 false false true
[BID] 173 6 20 20 false false false false 1 784 19 false false true
Buyer 174 2 20 20 true false true false 1 784 19 false false true
Seller 175 2 20 20 true false true false 6 784 19 false false true
Seller 176 2 20 20 true false true false 3 784 19 false false true
[CBID] 177 4 20 20 true false true false 7 783 20 false false true
Seller 178 4 20 20 true false true false 4 783 20 false false true
Buyer 179 0 20 20 true false true false 4 783 20 false false true
Buyer 180 1 20 20 true false true false 4 783 20 false false true
Seller 181 1 20 20 true false true false 0 783 20 false false true
[BID] 182 6 120 21 true false true false 1 783 20 false false true
Seller 183 6 120 21 true false true false 6 783 20 false false true
Seller 184 6 120 21 true false true false 3 783 20 false false true
Buyer 185 2 120 21 true false true false 3 783 20 false false true
[CBID] 186 4 120 21 true false true false 7 782 21 false false true
Buyer 187 0 120 21 true false true false 7 782 21 false false true
Buyer 188 1 120 21 true false true false 7 782 21 false false true
Seller 189 1 120 21 true false true false 4 782 21 false false true
Seller 190 1 120 21 true false true false 0 782 21 false false true
[BID] 191 6 220 22 true false true false 1 782 21 false false true
Buyer 192 2 220 22 true false true false 1 782 21 false false true
Seller 193 2 220 22 true false true false 6 782 21 false false true
Seller 194 2 220 22 true false true false 3 782 21 false false true
[CBID] 195 4 220 22 true false true false 7 781 22 false false true
Seller 196 4 220 22 true false true false 4 781 22 false false true
Buyer 197 0 220 22 true false true false 4 781 22 false false true
Buyer 198 1 220 22 true false true false 4 781 22 false false true
Seller 199 1 220 22 true false true false 0 781 22 false false true
[BID] 200 6 320 23 true false true false 1 781 22 false false true
Seller 201 6 320 23 true false true false 6 781 22 false false true
Buyer 202 2 320 23 true false true false 6 781 22 false false true
Seller 203 2 320 23 true false true false 3 781 22 false false true
[CBID] 204 4 320 23 true false true false 7 780 23 false false true
Buyer 205 0 320 23 true false true false 7 780 23 false false true
Buyer 206 1 320 23 true false true false 7 780 23 false false true
Seller 207 1 320 23 true false true false 4 780 23 false false true
Seller 208 1 320 23 true false true false 0 780 23 false false true
[BID] 209 6 420 24 true false true false 1 780 23 false false true
Buyer 210 2 420 24 true false true false 1 780 23 false false true
Seller 211 2 420 24 true false true false 6 780 23 false false true
Seller 212 2 420 24 true false true false 3 780 23 false false true
[CBID] 213 4 420 24 true false true false 7 779 24 false false true
Seller 214 4 420 24 true false true false 4 779 24 false false true
Buyer 215 0 420 24 true false true false 4 779 24 false false true
Buyer 216 1 420 24 true false true false 4 779 24 false false true
Seller 217 1 420 24 true false true false 0 779 24 false false true
[BID] 218 6 520 25 true false true false 1 779 24 false false true
Seller 219 6 520 25 true false true false 6 779 24 false false true
Buyer 220 2 520 25 true false true false 6 779 24 false false true
